City,count
New Delhi,5473
Gurgaon,1118
Noida,1080
Faridabad,251
Ghaziabad,25
Bhubaneshwar,21
Lucknow,21
Ahmedabad,21
Amritsar,21
Guwahati,21
Rio de Janeiro,20
Bras�_lia,20
Albany,20
Doha,20
Cape Town,20
Manchester,20
London,20
Edinburgh,20
Birmingham,20
Wellington City,20
